Provider,Count
"ALICLOUD-US,Taobao",15870
"CT-CLOUDYCOMPANY,CHINANET-SH",7151
"UNICOM-BJ,UNICOM-BJ",3269
"CERNET-CN,BJR-CERNET",2506
"CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN,CNNIC-CRITICAL-CN",2319
"CT-CLOUDYCOMPANY,CHINANET-SH",922
"CHINANET-SH,UNICOM",683
"PESAT-INFRASTRUKTUR,PESAT-INFRASTRUKTUR,PESAT-INFRASTRUKTUR",302
"SolusiNET,SOLUSINET-ID,SOLUSINET-SOLUSI,SOLUSINET-ID",293
"CHINANET-SH,TENCENT-NET-AP,TENCENT-NET-AP,CHINANET-GD",214
"CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET",189
"CMNET,CMNET,CMNET,CMNET",178
"CHINANET-JS,CHINANET-JS",125
"GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",56
"CLOUDFLARENET,CLOUDFLARENET",38
"KORNET-KR,KORNET-KR,KORNET-KR",27
"broadNnet-KR,broadNnet-KR",22
"CLOUDFLARENET,CLOUDFLARENET",22
"LMT,LV-LMT-20080326,APOLLO-LATTELECOM-SERVICES",18
"CHINANET-GX,CHINANET-GX",17
"AP-CONAC-CN,AP-CONAC-CN,AP-CONAC-CN",14
"SSL-1134,SSL-1134,SSL-1134,SSL-1134,SECURITYSERVICES,SSL-1134,SSL-1134,SSL-1134",10
The DNS query name does not exist: ccrac6.4cplus.com.,9
"CSTNET-CN,CSTNET-CN",6
"Digital-Guangdong,Digital-Guangdong",6
"IR-ASIATECH-NET,IR-ASIATECH-NET",6
"NETVIGATOR,NETVIGATOR",5
"IR-PTE-TEHRAN-20120829,IR-PTE-TEHRAN-20120829",4
"187.191.64.0 - 187.191.95.255,187.191.64.0 - 187.191.95.255,200.57.128.0 - 200.57.159.255,200.57.128.0 - 200.57.159.255",4
IR-DCC-20101018,4
"TIGGEE-USNYC-1,TIGGEE-EU-5,TIGGEE-AP,TIGGEE-USNYC-1,TIGGEE-EU-6,TIGGEE-AP",4
"CAT-IDC2-Service,CAT-IDCnonthaburi-Service,CAT-IDC-Service",4
"HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.96.252.16 with error code 403.,HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.96.250.16 with error code 403.",4
"UK-OPALNET-20000413,TTT-NEC-SLB,UK-OPALNET-20000413",3
"SHTL-NET-INFRA,SHTL-DSL-THR",3
"GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",3
"ALISOFT,ALISOFT",3
"CHINAENTERCOM,CHINAENTERCOM",2
"CLOUDFLARENET,CLOUDFLARENET",2
"BT-CORPORATE,BT-CORPORATE,BT-CORPORATE,BT-CORPORATE",2
"IR-RSPN,IR-RSPN",2
"ClouDNS,ClouDNS,ClouDNS",2
"HETZNER-RZ-NBG-NET2,HETZNER-RZ-NBG-NET,HETZNER-PORTABLE-PI",2
"MSFT,MSFT,MSFT,MSFT",2
"NSONE-DNS,NSONE-DNS,NSONE-DNS,NSONE-DNS",1
"AMAZON-EC2,AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-BYOIP",1
"TencentCloud,CHINANET-GD",1
"de-ber-ionos-cloud-txl,DE-V6NODE,DE-SEITZ-PA4,DE-HARMONYSOLUTIONS-VM01,DE-ETH-SERVICES",1
UK-LIBRAESVA-20210715,1
"GLOBET-PH,GLOBET-PH,GLOBE-COMM,GLOBE-LDNS-PH",1
"AKAMAI-PI-1,HTTP lookup failed for http://rdap.arin.net/registry/ip/96.7.50.65.,CIRA-SOI-V4,CIRA-SOI-V4",1
"CLOUDFLARENET,CLOUDFLARENET",1
"ORG-TA23-AFRINIC,ORG-TA23-AFRINIC,ORG-TA23-AFRINIC,ORG-TA23-AFRINIC",1
"CHTR-HSA-1BLK,CHTR-HSA-1BLK,CHTR-HSA-2BLK,CHTR-HSA-2BLK",1
"AKAMAI-PI-1,AKAMAI-PA,AKAMAI-PA,AKAMAI-PA,AKAMAI,AKAMAI-PA",1
"BORANET-KR,BORANET-KR",1
"HINET-NET,HINET-NET,HINET-NET",1
,1
"CLOUDFLARENET,CLOUDFLARENET",1
"INFRA-AW-BIAB,RID-0000020483",1
"GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",1
"CLOUDFLARENET,CLOUDFLARENET",1
"RIMA,RIMA",1
"CLOUDFLARENET,CLOUDFLARENET",1
"NEC-MESH,NEC-MESH11",1
"TR-TURKCELL-INTERNET,TR-TURKCELL-INTERNET",1
"200.108.96.0 - 200.108.111.255,200.108.96.0 - 200.108.111.255",1
"SEASTROM,EGAT",1
,1
"201.163.0.0 - 201.163.255.255,201.163.0.0 - 201.163.255.255,201.163.0.0 - 201.163.255.255",1
"AKAMAI-PI-1,AKAMAI-PA,AKAMAI-PA,AKAMAI-PA,TZODNS-1,TZODNS-1,TZODNS-1,TZODNS-1",1
"nrpcore,nrpcore2,nrpcore2",1
"TencentCloud,TENCENT-CN",1
"CDN77-ANYCAST,CDN77-ANYCAST",1
"HORNET-PL,HORNET-PL",1
"EWETEL-ADNS0-NET,EWETEL-ADNS1-NET,SERVER-NET-2,EWETEL-ADNS3-NET",1
"CTM-MO,CTM-MO,CTM-MO",1
"SBUN,SBUN",1
"CLOUDFLARENET,CLOUDFLARENET",1
"IR-PADIDARTECHNOLOGY-20120727,IR-PADIDARTECHNOLOGY-20120727",1
"CloudWebManage,CLOUDWEBMANAGE-IL,CLOUDWEBMANAGE-EU",1
"COLNET,COLNET,COLNET,COLNET,COLNET,COLNET",1
"MSFT,MSFT,MSFT-SV3-TEST,MSFT",1
"CLOUDFLARENET,CLOUDFLARENET",1
"CLOUDFLARENET,CLOUDFLARENET",1
"FibrLINK,FibrLINK",1
"The DNS query name does not exist: ns1.khatibi.org.,The DNS query name does not exist: ns2.khatibi.org.",1
"IDSTRATEGY-VM,IDSTRATEGY-VM,CLIENTS_DC_EU",1
"190.126.0.0 - 190.127.255.255,NETBLK-WDSPCO-CBLK6,NETBLK-WDSPCO-CBLK6,190.126.0.0 - 190.127.255.255",1
"DNS0-3,DNS0-1",1
"HGCGLOBAL-HK,HGCGLOBAL-HK",1
"SYSEDATA-NET,SYSEDATACOLO-NET,SYSEHOSTING-NET,LINODE-UK",1
,1
"CINER-3-206-225-75-128-27,CINER-3-PLU,UK-MICROSOFT-20000324",1
"AT-MAXMOBIL-20100531,UPC-INFRASTRUCTURE",1
"IR-FIDC-20070828,IR-FIDC-20070828",1
"UMN-NET,MSFT,AT-88-Z",1
"200.3.248.0 - 200.3.255.255,190.104.128.0 - 190.104.191.255,190.104.128.0 - 190.104.191.255,190.104.128.0 - 190.104.191.255",1
"CHINANET-BB,CHINANET-BB",1
"JUMPSTART-4,COMCAST-18,COMCAST-18,COMCAST-18,COMCAST-18",1
"CLOUDFLARENET,CLOUDFLARENET",1
"CLOUDFLARENET,CLOUDFLARENET",1
"LAGIS-SERVER-1,LAGIS-SERVER-1,LAGIS-SERVER-2,AT-LIWEST-DOCSIS",1
"AMAZON-BYOIP,AMAZON-EC2,AMAZON-BYOIP,AMAZON-BYOIP",1
"MCI-CBLK,MCI-CBLK,NETBLK-UUNETCBLK4,UUNET-EURO-SERVER1,UUNET-EURO-SERVER1,NETBLK-UUNETCBLK4,NETBLK-UUNETCBLK4",1
"Cogetel,Cogetel,Cogetel,Cogetel,Cogetel",1
"AE-EMIRNET-20120822,AE-EMIRNET-20120822,AE-EMIRNET-20120822,AE-EMIRNET-20120822",1
"BIZNET-AP,BIZNET-AP,BIZNET-Global-Switch-BLOCK,BIZNET-CLOUD-COMPUTING-BLOCK",1
"CLOUDFLARENET,CLOUDFLARENET",1
"RU-ITGLOBAL,BY-ITGLOBAL,NL-ITGLOBAL,KZ-ITGLOBAL-1",1
"TIGGEE,TIGGEE,TIGGEE,TIGGEE,TIGGEE",1
"AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-EC2,AMAZON-BYOIP",1
"VDF095,VDF097,TR-RTNET-981210",1
"AKAMAI-PI-1,AKAMAI-PA,AKAMAI,AKAMAI,AKAMAI-ARIN-1,AKAMAI",1
"OVH_73464624,OVH_73464624,OVH_73464624,INVEST-INTERNET-LTD,INVEST-INTERNET-LTD,INVEST-INTERNET-LTD,MIROHOST,MIROHOST,MIROHOST,US-INTERNET1-20090520,US-INTERNET1-20090520,US-INTERNET1-20090520",1
"TISCALINET-DATACENTER,IT-TISCALI-20080514,TISCALINET-DATACENTER",1
"200.13.224.0 - 200.13.255.255,200.13.224.0 - 200.13.255.255,200.31.208.0 - 200.31.223.255",1
"DREAMX-KR,DREAMX-KR",1
"PELPLE-DAILY,People-Daily-Online,PEOPLENET,People-Daily-Online,PELPLE-DAILY",1
